name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.ab_test_assignments\` has a foreign key \`ab_test_assignments_experiment_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""ab_test_assignments"",""type"":""table"",""schema"":""public"",""fkey_name"":""ab_test_assignments_experiment_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_ab_test_assignments_ab_test_assignments_experiment_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.account_deletion_requests\` has a foreign key \`account_deletion_requests_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""account_deletion_requests"",""type"":""table"",""schema"":""public"",""fkey_name"":""account_deletion_requests_user_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_account_deletion_requests_account_deletion_requests_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.ai_finetuning_jobs\` has a foreign key \`ai_finetuning_jobs_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""ai_finetuning_jobs"",""type"":""table"",""schema"":""public"",""fkey_name"":""ai_finetuning_jobs_created_by_fkey"",""fkey_columns"":[16]}",unindexed_foreign_keys_public_ai_finetuning_jobs_ai_finetuning_jobs_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.ai_model_performance\` has a foreign key \`ai_model_performance_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""ai_model_performance"",""type"":""table"",""schema"":""public"",""fkey_name"":""ai_model_performance_created_by_fkey"",""fkey_columns"":[13]}",unindexed_foreign_keys_public_ai_model_performance_ai_model_performance_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.auto_moderation_rules\` has a foreign key \`auto_moderation_rules_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""auto_moderation_rules"",""type"":""table"",""schema"":""public"",""fkey_name"":""auto_moderation_rules_created_by_fkey"",""fkey_columns"":[8]}",unindexed_foreign_keys_public_auto_moderation_rules_auto_moderation_rules_created_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.budgets\` has a foreign key \`budgets_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""budgets"",""type"":""table"",""schema"":""public"",""fkey_name"":""budgets_user_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_budgets_budgets_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.campaign_logs\` has a foreign key \`campaign_logs_campaign_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""campaign_logs"",""type"":""table"",""schema"":""public"",""fkey_name"":""campaign_logs_campaign_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_campaign_logs_campaign_logs_campaign_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.camping_site_updates\` has a foreign key \`camping_site_updates_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""camping_site_updates"",""type"":""table"",""schema"":""public"",""fkey_name"":""camping_site_updates_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_camping_site_updates_camping_site_updates_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.content_moderation\` has a foreign key \`content_moderation_author_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""content_moderation"",""type"":""table"",""schema"":""public"",""fkey_name"":""content_moderation_author_id_fkey"",""fkey_columns"":[5]}",unindexed_foreign_keys_public_content_moderation_content_moderation_author_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.content_moderation\` has a foreign key \`content_moderation_flagged_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""content_moderation"",""type"":""table"",""schema"":""public"",""fkey_name"":""content_moderation_flagged_by_fkey"",""fkey_columns"":[7]}",unindexed_foreign_keys_public_content_moderation_content_moderation_flagged_by_fkey
